"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
3	0.887744703673907	15	15	"Churn"	"No"	0
4	0.90137869972173	15	15	"Churn"	"No"	0
5	0.914165419161677	15	15	"Churn"	"No"	0
6	0.893463214882365	15	15	"Churn"	"No"	0
7	0.901362428001772	15	15	"Churn"	"No"	0
8	0.865042961431617	15	15	"Churn"	"No"	0
9	0.89758441091954	15	15	"Churn"	"No"	0
10	0.855141853338969	15	15	"Churn"	"No"	0
11	0.898243464052288	15	15	"Churn"	"No"	0
12	0.885893246187364	15	15	"Churn"	"No"	0
13	0.910913816556549	15	15	"Churn"	"No"	0
14	0.893821022727273	15	15	"Churn"	"No"	0
15	0.899289353714132	15	15	"Churn"	"No"	0
16	0.914715719063545	15	15	"Churn"	"No"	0
17	0.893902424855055	15	15	"Churn"	"No"	0
18	0.863468738722483	15	15	"Churn"	"No"	0
19	0.919939630681818	15	15	"Churn"	"No"	0
20	0.888205783331337	15	15	"Churn"	"No"	0
21	0.850025879917184	15	15	"Churn"	"No"	0
22	0.901795380728979	15	15	"Churn"	"No"	0
23	0.888953744624585	15	15	"Churn"	"No"	0
24	0.894939630681818	15	15	"Churn"	"No"	0
25	0.885220316750874	15	15	"Churn"	"No"	0
26	0.900248055779029	15	15	"Churn"	"No"	0
27	0.902817234848485	15	15	"Churn"	"No"	0
28	0.89080957063258	15	15	"Churn"	"No"	0
29	0.902769230769231	14	15	"Churn"	"No"	0
30	0.824092119174086	15	15	"Churn"	"No"	0
1	0.906247289578351	16	16	"Churn"	"No"	0
2	0.892843198500703	16	16	"Churn"	"No"	0
3	0.916965309200603	15	16	"Churn"	"No"	0
4	0.907084015941069	15	16	"Churn"	"No"	0
5	0.874163343567303	15	16	"Churn"	"No"	0
6	0.909643213572854	16	16	"Churn"	"No"	0
7	0.896115751517641	16	16	"Churn"	"No"	0
8	0.921074693600543	16	16	"Churn"	"No"	0
9	0.857182100530346	16	16	"Churn"	"No"	0
10	0.910476291303478	14	16	"Churn"	"No"	0
11	0.878986572207358	14	16	"Churn"	"No"	0
12	0.920802413273001	16	16	"Churn"	"No"	0
13	0.908680555555556	14	16	"Churn"	"No"	0
14	0.890849497126437	16	16	"Churn"	"No"	0
15	0.903033767553585	15	16	"Churn"	"No"	0
16	0.907251950947603	16	16	"Churn"	"No"	0
17	0.881754646259566	16	16	"Churn"	"No"	0
18	0.895781026928568	16	16	"Churn"	"No"	0
19	0.879286001262699	16	16	"Churn"	"No"	0
20	0.888113523359425	15	16	"Churn"	"No"	0
21	0.902012077671925	15	16	"Churn"	"No"	0
22	0.897372159090909	16	16	"Churn"	"No"	0
23	0.895173435678197	16	16	"Churn"	"No"	0
24	0.88731221719457	16	16	"Churn"	"No"	0
25	0.87750946969697	16	16	"Churn"	"No"	0
26	0.895889872173058	16	16	"Churn"	"No"	0
27	0.873798846893017	16	16	"Churn"	"No"	0
28	0.841387631975867	16	16	"Churn"	"No"	0
29	0.897041380762878	15	16	"Churn"	"No"	0
30	0.860886058459258	16	16	"Churn"	"No"	0
1	0.90802578431915	16	17	"Churn"	"No"	0
2	0.914835870163213	14	17	"Churn"	"No"	0
3	0.882009058238566	16	17	"Churn"	"No"	0
4	0.895871793626117	17	17	"Churn"	"No"	0
5	0.925767586474932	16	17	"Churn"	"No"	0
6	0.923368327852264	16	17	"Churn"	"No"	0
7	0.908013389400455	16	17	"Churn"	"No"	0
8	0.898372005988024	16	17	"Churn"	"No"	0
9	0.870513792965787	17	17	"Churn"	"No"	0
10	0.907664680339985	16	17	"Churn"	"No"	0
11	0.903688524590164	16	17	"Churn"	"No"	0
12	0.910884481037924	15	17	"Churn"	"No"	0
13	0.942149513248998	17	17	"Churn"	"No"	0
14	0.901525456665371	15	17	"Churn"	"No"	0
15	0.887346414817532	17	17	"Churn"	"No"	0
16	0.881724887264323	17	17	"Churn"	"No"	0
17	0.922589378042688	16	17	"Churn"	"No"	0
18	0.878041993422717	17	17	"Churn"	"No"	0
19	0.917390219560878	15	17	"Churn"	"No"	0
20	0.916185817825162	16	17	"Churn"	"No"	0
21	0.890891861761427	16	17	"Churn"	"No"	0
22	0.867473561953665	17	17	"Churn"	"No"	0
23	0.876138433515483	17	17	"Churn"	"No"	0
24	0.916633484162896	16	17	"Churn"	"No"	0
25	0.887811707523246	16	17	"Churn"	"No"	0
26	0.880238651283303	17	17	"Churn"	"No"	0
27	0.904370638341544	16	17	"Churn"	"No"	0
28	0.869944999771783	16	17	"Churn"	"No"	0
29	0.900083148558758	17	17	"Churn"	"No"	0
30	0.901948481996584	16	17	"Churn"	"No"	0
1	0.9132120198006	16	18	"Churn"	"No"	0
2	0.890091367172144	18	18	"Churn"	"No"	0
3	0.900761201341523	16	18	"Churn"	"No"	0
4	0.902849709873879	16	18	"Churn"	"No"	0
5	0.836649856889737	17	18	"Churn"	"No"	0
6	0.917416966786715	18	18	"Churn"	"No"	0
7	0.899963662790698	16	18	"Churn"	"No"	0
8	0.914005179110919	14	18	"Churn"	"No"	0
9	0.91586282780121	14	18	"Churn"	"No"	0
10	0.886035236518279	17	18	"Churn"	"No"	0
11	0.886661092530658	17	18	"Churn"	"No"	0
12	0.918924213968194	18	18	"Churn"	"No"	0
13	0.88846455505279	16	18	"Churn"	"No"	0
14	0.857294029768162	15	18	"Churn"	"No"	0
15	0.89713733026843	17	18	"Churn"	"No"	0
16	0.882361497596762	15	18	"Churn"	"No"	0
17	0.919514891158257	14	18	"Churn"	"No"	0
18	0.881305571439784	15	18	"Churn"	"No"	0
19	0.854975055432373	16	18	"Churn"	"No"	0
20	0.899829978547629	17	18	"Churn"	"No"	0
