"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
12	0.891240763546798	8	8	"Churn"	"Yes"	0.1
13	0.846916070664466	8	8	"Churn"	"Yes"	0.1
14	0.944969223484848	8	8	"Churn"	"Yes"	0.1
15	0.88646005257045	8	8	"Churn"	"Yes"	0.1
16	0.846185690447986	8	8	"Churn"	"Yes"	0.1
17	0.813944962042788	8	8	"Churn"	"Yes"	0.1
18	0.870215818363273	8	8	"Churn"	"Yes"	0.1
19	0.898153409090909	8	8	"Churn"	"Yes"	0.1
20	0.857484046008636	8	8	"Churn"	"Yes"	0.1
21	0.839689238924269	8	8	"Churn"	"Yes"	0.1
22	0.833621061717738	8	8	"Churn"	"Yes"	0.1
23	0.850070297695458	8	8	"Churn"	"Yes"	0.1
24	0.898053542202478	8	8	"Churn"	"Yes"	0.1
25	0.857631839242022	8	8	"Churn"	"Yes"	0.1
26	0.889891830944032	8	8	"Churn"	"Yes"	0.1
27	0.900998927326361	8	8	"Churn"	"Yes"	0.1
28	0.899460483269242	8	8	"Churn"	"Yes"	0.1
29	0.863553975391265	8	8	"Churn"	"Yes"	0.1
30	0.886854656740214	8	8	"Churn"	"Yes"	0.1
1	0.84400981327518	9	9	"Churn"	"Yes"	0.1
2	0.917954314486327	9	9	"Churn"	"Yes"	0.1
3	0.890601903178123	9	9	"Churn"	"Yes"	0.1
4	0.886390393218743	9	9	"Churn"	"Yes"	0.1
5	0.873648168486336	9	9	"Churn"	"Yes"	0.1
6	0.883101139162562	9	9	"Churn"	"Yes"	0.1
7	0.858039215686275	9	9	"Churn"	"Yes"	0.1
8	0.881605538922156	9	9	"Churn"	"Yes"	0.1
9	0.847246082565464	9	9	"Churn"	"Yes"	0.1
10	0.887124894336433	9	9	"Churn"	"Yes"	0.1
11	0.880821305478115	9	9	"Churn"	"Yes"	0.1
12	0.904265460030166	9	9	"Churn"	"Yes"	0.1
13	0.885504356815832	9	9	"Churn"	"Yes"	0.1
14	0.897433949029694	9	9	"Churn"	"Yes"	0.1
15	0.853098438654841	9	9	"Churn"	"Yes"	0.1
16	0.881232244318182	9	9	"Churn"	"Yes"	0.1
17	0.888955546929221	9	9	"Churn"	"Yes"	0.1
18	0.846391885780735	9	9	"Churn"	"Yes"	0.1
19	0.876122754491018	9	9	"Churn"	"Yes"	0.1
20	0.87068932101557	9	9	"Churn"	"Yes"	0.1
21	0.86315175050925	9	9	"Churn"	"Yes"	0.1
22	0.915344613181596	9	9	"Churn"	"Yes"	0.1
23	0.849634167092054	9	9	"Churn"	"Yes"	0.1
24	0.870658035367276	9	9	"Churn"	"Yes"	0.1
25	0.875649776525457	9	9	"Churn"	"Yes"	0.1
26	0.901900930467822	9	9	"Churn"	"Yes"	0.1
27	0.902787456445993	9	9	"Churn"	"Yes"	0.1
28	0.934409193715997	9	9	"Churn"	"Yes"	0.1
29	0.913055470032841	9	9	"Churn"	"Yes"	0.1
30	0.843688337971161	9	9	"Churn"	"Yes"	0.1
1	0.85010160603081	10	10	"Churn"	"Yes"	0.1
2	0.826971037811746	10	10	"Churn"	"Yes"	0.1
3	0.914280582922824	10	10	"Churn"	"Yes"	0.1
4	0.894082332761578	10	10	"Churn"	"Yes"	0.1
5	0.805328436807095	10	10	"Churn"	"Yes"	0.1
6	0.915096689609964	10	10	"Churn"	"Yes"	0.1
